file	format	type	num_seqs	sum_len	min_len	avg_len	max_len
HFT_pipeline_result/HostRemoval/NonHostFastq/HFTF-TE-123A_S103.non.host.R1.fastq.gz	FASTQ	DNA	32251530	4800980216	36	148.9	151
HFT_pipeline_result/HostRemoval/NonHostFastq/HFTF-TE-123B_S104.non.host.R1.fastq.gz	FASTQ	DNA	29779798	4433496199	36	148.9	151
HFT_pipeline_result/HostRemoval/NonHostFastq/HFTF-TE-123C_S105.non.host.R1.fastq.gz	FASTQ	DNA	33514437	4990775382	36	148.9	151
HFT_pipeline_result/HostRemoval/NonHostFastq/HFTF-TE-123D_S106.non.host.R1.fastq.gz	FASTQ	DNA	31405369	4677481523	36	148.9	151
HFT_pipeline_result/HostRemoval/NonHostFastq/HFTF-TE-123E_S107.non.host.R1.fastq.gz	FASTQ	DNA	32210821	4794832548	36	148.9	151
HFT_pipeline_result/HostRemoval/NonHostFastq/HFTF-TE-123F_S108.non.host.R1.fastq.gz	FASTQ	DNA	27735099	4127534522	36	148.8	151
HFT_pipeline_result/HostRemoval/NonHostFastq/HFTF-TE-123G_S109.non.host.R1.fastq.gz	FASTQ	DNA	30585494	4554979763	36	148.9	151
HFT_pipeline_result/HostRemoval/NonHostFastq/HFTF-TE-124A_S110.non.host.R1.fastq.gz	FASTQ	DNA	29360511	4375710157	36	149.0	151
HFT_pipeline_result/HostRemoval/NonHostFastq/HFTF-TE-124B_S111.non.host.R1.fastq.gz	FASTQ	DNA	32052283	4777164557	36	149.0	151
HFT_pipeline_result/HostRemoval/NonHostFastq/HFTF-TE-124C_S112.non.host.R1.fastq.gz	FASTQ	DNA	27918805	4161662119	36	149.1	151
HFT_pipeline_result/HostRemoval/NonHostFastq/HFTF-TE-124D_S113.non.host.R1.fastq.gz	FASTQ	DNA	31213016	4652134645	36	149.0	151
HFT_pipeline_result/HostRemoval/NonHostFastq/HFTF-TE-124E_S114.non.host.R1.fastq.gz	FASTQ	DNA	28790012	4291459902	36	149.1	151
HFT_pipeline_result/HostRemoval/NonHostFastq/HFTF-TE-124F_S115.non.host.R1.fastq.gz	FASTQ	DNA	28742945	4281226922	36	148.9	151
HFT_pipeline_result/HostRemoval/NonHostFastq/HFTF-TE-124G_S116.non.host.R1.fastq.gz	FASTQ	DNA	24997100	3723512749	36	149.0	151
HFT_pipeline_result/HostRemoval/NonHostFastq/HFTF-TE-126A_S117.non.host.R1.fastq.gz	FASTQ	DNA	24233857	3612148072	36	149.1	151
HFT_pipeline_result/HostRemoval/NonHostFastq/HFTF-TE-126B_S118.non.host.R1.fastq.gz	FASTQ	DNA	28490815	4247856491	36	149.1	151
